date,open,high,low,close
2013-10-17,19756.6,19799.8,19547.2,19580.6
2013-10-18,19579.8,19630.8,19510.6,19569.4
2013-10-21,19584.2,19647.6,19567.2,19634.8
2013-10-22,19634.8,19696.2,19569.2,19620.8
2013-10-23,19620.8,19638.0,19430.8,19465.6
2013-10-24,19464.4,19522.4,19432.8,19463.8
2013-10-25,19464.8,19497.0,19387.6,19476.8
2013-10-28,19504.0,19556.8,19488.2,19537.6
2013-10-29,19536.6,19653.4,19491.4,19631.8
2013-10-30,19631.8,19734.4,19610.2,19702.0
2013-10-31,19702.0,19713.0,19617.0,19669.8
2013-11-01,19669.8,19769.0,19561.2,19732.6
2013-11-04,19737.6,19767.6,19706.6,19730.0
2013-11-05,19729.8,19732.2,19633.4,19706.4
2013-11-06,19706.2,19750.0,19680.2,19726.6
2013-11-07,19727.4,19881.6,19522.2,19637.0
2013-11-08,19637.0,19843.0,19594.6,19830.8
2013-11-11,19831.0,19859.4,19784.2,19831.4
2013-11-12,19831.4,19960.0,19820.4,19924.0
2013-11-13,19928.0,19934.0,19819.8,19854.2
2013-11-14,19854.0,20030.0,19826.2,20012.0
2013-11-15,20014.0,20086.0,19988.0,20042.0
2013-11-18,20050.0,20078.0,19958.0,19986.0
2013-11-19,19986.0,20050.0,19914.0,20038.0
2013-11-20,20038.0,20048.0,19958.0,20010.0
2013-11-21,20010.0,20236.0,20006.0,20234.0
2013-11-22,20234.0,20270.0,20190.0,20264.0
2013-11-25,20254.0,20382.0,20228.0,20304.0
2013-11-26,20304.0,20330.0,20230.0,20260.0
2013-11-27,20260.0,20454.0,20236.0,20446.0
2013-11-28,20446.0,20474.0,20386.0,20458.0
2013-11-29,20458.0,20522.0,20424.0,20482.0
2013-12-02,20496.0,20626.0,20444.0,20588.0
2013-12-03,20588.0,20674.0,20394.0,20486.0
2013-12-04,20486.0,20566.0,20364.0,20466.0
2013-12-05,20466.0,20488.0,20324.0,20356.0
2013-12-06,20358.0,20592.0,20326.0,20572.0
2013-12-09,20628.0,20664.0,20578.0,20656.0
2013-12-10,20656.0,20678.0,20514.0,20574.0
2013-12-11,20574.0,20588.0,20430.0,20492.0
2013-12-12,20492.0,20724.0,20482.0,20712.0
2013-12-13,20712.0,20784.0,20598.0,20644.0
2013-12-16,20628.0,20658.0,20528.0,20618.0
2013-12-17,20618.0,20620.0,20500.0,20514.0
2013-12-18,20514.0,20872.0,20512.0,20852.0
2013-12-19,20852.0,20872.0,20756.0,20844.0
2013-12-20,20846.0,20926.0,20772.0,20812.0
2013-12-23,20792.0,20844.0,20754.0,20838.0
2013-12-24,20838.0,20882.0,20826.0,20852.0
2013-12-26,20886.0,20966.0,20874.0,20962.0
2013-12-27,20962.0,21036.0,20930.0,21036.0
2013-12-30,21064.0,21082.0,20992.0,21014.0
2013-12-31,21014.0,21064.0,20972.0,21056.0
2014-01-02,21072.0,21088.0,20908.0,20966.0
2014-01-03,20966.0,20974.0,20814.0,20956.0
2014-01-06,20970.0,20990.0,20782.0,20840.0
2014-01-07,20842.0,20946.0,20836.0,20934.0
2014-01-08,20936.0,21024.0,20924.0,20976.0
2014-01-09,20976.0,21010.0,20916.0,20966.0
2014-01-10,20966.0,21062.0,20766.0,20814.0
2014-01-13,20816.0,20824.0,20570.0,20614.0
2014-01-14,20612.0,20858.0,20604.0,20850.0
2014-01-15,20850.0,20938.0,20818.0,20914.0
2014-01-16,20914.0,20984.0,20830.0,20866.0
2014-01-17,20868.0,20894.0,20838.0,20856.0
2014-01-20,20858.0,20860.0,20772.0,20836.0
2014-01-21,20834.0,20950.0,20804.0,20860.0
2014-01-22,20860.0,20914.0,20794.0,20908.0
2014-01-23,20908.0,20968.0,20594.0,20670.0
2014-01-24,20672.0,20716.0,20400.0,20450.0
2014-01-27,20408.0,20586.0,20384.0,20530.0
2014-01-28,20530.0,20688.0,20504.0,20672.0
2014-01-29,20674.0,20684.0,20368.0,20432.0
2014-01-30,20432.0,20578.0,20418.0,20556.0
2014-01-31,20558.0,20586.0,20390.0,20432.0
2014-02-03,20428.0,20482.0,20156.0,20224.0
2014-02-04,20218.0,20336.0,20150.0,20324.0
2014-02-05,20324.0,20352.0,20160.0,20298.0
2014-02-06,20298.0,20434.0,20248.0,20394.0
2014-02-07,20394.0,20516.0,20286.0,20452.0
2014-02-10,20520.0,20528.0,20398.0,20444.0
2014-02-11,20444.0,20540.0,20414.0,20524.0
2014-02-12,20524.0,20528.0,20444.0,20506.0
2014-02-13,20506.0,20508.0,20340.0,20446.0
2014-02-14,20450.0,20480.0,20314.0,20360.0
2014-02-17,20344.0,20396.0,20276.0,20390.0
2014-02-18,20390.0,20548.0,20352.0,20480.0
2014-02-19,20480.0,20492.0,20370.0,20464.0
2014-02-20,20464.0,20484.0,20334.0,20470.0
2014-02-21,20470.0,20566.0,20458.0,20512.0
2014-02-24,20510.0,20534.0,20432.0,20496.0
2014-02-25,20496.0,20524.0,20402.0,20440.0
